[2025-10-19 14:37:59] Running experiment 'superres_tta_resnet20' (고해상도 학습 + 다중 스케일 TTA)
[2025-10-19 14:37:59] Hard example sampler requested but no matching samples found; falling back to shuffle.
[2025-10-19 14:37:59] Model: resnet20, optimizer: adamw, lr: 0.0007, wd: 0.0003, epochs: 60, batch_size: 64
[2025-10-20 04:19:46] Epoch 11/60 | Train Loss: 0.1625 | Train Acc: 0.9525 | Val Acc: 0.9732
[2025-10-20 04:20:07] Epoch 12/60 | Train Loss: 0.1434 | Train Acc: 0.9589 | Val Acc: 0.9741
[2025-10-20 04:20:29] Epoch 13/60 | Train Loss: 0.1462 | Train Acc: 0.9580 | Val Acc: 0.9728
[2025-10-20 04:20:51] Epoch 14/60 | Train Loss: 0.1407 | Train Acc: 0.9595 | Val Acc: 0.9712
[2025-10-20 04:21:12] Epoch 15/60 | Train Loss: 0.1333 | Train Acc: 0.9629 | Val Acc: 0.9670
[2025-10-20 04:21:34] Epoch 16/60 | Train Loss: 0.1263 | Train Acc: 0.9638 | Val Acc: 0.9820
[2025-10-20 04:21:56] Epoch 17/60 | Train Loss: 0.1195 | Train Acc: 0.9656 | Val Acc: 0.9782
[2025-10-20 04:22:17] Epoch 18/60 | Train Loss: 0.1146 | Train Acc: 0.9662 | Val Acc: 0.9730
[2025-10-20 04:22:39] Epoch 19/60 | Train Loss: 0.1166 | Train Acc: 0.9678 | Val Acc: 0.9822
[2025-10-20 04:23:01] Epoch 20/60 | Train Loss: 0.1114 | Train Acc: 0.9682 | Val Acc: 0.9767
[2025-10-20 04:23:22] Epoch 21/60 | Train Loss: 0.1033 | Train Acc: 0.9693 | Val Acc: 0.9743
[2025-10-20 04:23:44] Epoch 22/60 | Train Loss: 0.0978 | Train Acc: 0.9719 | Val Acc: 0.9750
[2025-10-20 04:24:06] Epoch 23/60 | Train Loss: 0.1011 | Train Acc: 0.9718 | Val Acc: 0.9827
[2025-10-20 04:24:27] Epoch 24/60 | Train Loss: 0.0998 | Train Acc: 0.9706 | Val Acc: 0.9783
[2025-10-20 04:24:49] Epoch 25/60 | Train Loss: 0.0842 | Train Acc: 0.9756 | Val Acc: 0.9802
[2025-10-20 04:25:11] Epoch 26/60 | Train Loss: 0.0922 | Train Acc: 0.9725 | Val Acc: 0.9820
[2025-10-20 04:25:33] Epoch 27/60 | Train Loss: 0.0886 | Train Acc: 0.9760 | Val Acc: 0.9831
[2025-10-20 04:25:54] Epoch 28/60 | Train Loss: 0.0801 | Train Acc: 0.9770 | Val Acc: 0.9835
[2025-10-20 04:26:16] Epoch 29/60 | Train Loss: 0.0810 | Train Acc: 0.9757 | Val Acc: 0.9813
[2025-10-20 04:26:38] Epoch 30/60 | Train Loss: 0.0753 | Train Acc: 0.9784 | Val Acc: 0.9807
[2025-10-20 04:26:59] Epoch 31/60 | Train Loss: 0.0682 | Train Acc: 0.9807 | Val Acc: 0.9855
[2025-10-20 04:27:21] Epoch 32/60 | Train Loss: 0.0747 | Train Acc: 0.9788 | Val Acc: 0.9833
[2025-10-20 04:27:43] Epoch 33/60 | Train Loss: 0.0674 | Train Acc: 0.9808 | Val Acc: 0.9831
[2025-10-20 04:28:04] Epoch 34/60 | Train Loss: 0.0605 | Train Acc: 0.9817 | Val Acc: 0.9809
[2025-10-20 04:28:26] Epoch 35/60 | Train Loss: 0.0602 | Train Acc: 0.9837 | Val Acc: 0.9840
[2025-10-20 04:28:48] Epoch 36/60 | Train Loss: 0.0558 | Train Acc: 0.9838 | Val Acc: 0.9838
[2025-10-20 04:29:10] Epoch 37/60 | Train Loss: 0.0525 | Train Acc: 0.9858 | Val Acc: 0.9859
[2025-10-20 04:29:31] Epoch 38/60 | Train Loss: 0.0565 | Train Acc: 0.9847 | Val Acc: 0.9855
[2025-10-20 04:29:53] Epoch 39/60 | Train Loss: 0.0515 | Train Acc: 0.9862 | Val Acc: 0.9849
[2025-10-20 04:30:15] Epoch 40/60 | Train Loss: 0.0476 | Train Acc: 0.9863 | Val Acc: 0.9846
[2025-10-20 04:30:36] Epoch 41/60 | Train Loss: 0.0476 | Train Acc: 0.9861 | Val Acc: 0.9855
[2025-10-20 04:30:58] Epoch 42/60 | Train Loss: 0.0437 | Train Acc: 0.9877 | Val Acc: 0.9855
[2025-10-20 04:31:20] Epoch 43/60 | Train Loss: 0.0418 | Train Acc: 0.9884 | Val Acc: 0.9853
[2025-10-20 04:31:41] Epoch 44/60 | Train Loss: 0.0403 | Train Acc: 0.9891 | Val Acc: 0.9875
[2025-10-20 04:32:03] Epoch 45/60 | Train Loss: 0.0373 | Train Acc: 0.9886 | Val Acc: 0.9862
[2025-10-20 04:32:25] Epoch 46/60 | Train Loss: 0.0372 | Train Acc: 0.9899 | Val Acc: 0.9864
[2025-10-20 04:32:46] Epoch 47/60 | Train Loss: 0.0326 | Train Acc: 0.9916 | Val Acc: 0.9868
[2025-10-20 04:33:08] Epoch 48/60 | Train Loss: 0.0321 | Train Acc: 0.9910 | Val Acc: 0.9870
[2025-10-20 04:33:30] Epoch 49/60 | Train Loss: 0.0318 | Train Acc: 0.9912 | Val Acc: 0.9870
[2025-10-20 04:33:51] Epoch 50/60 | Train Loss: 0.0296 | Train Acc: 0.9928 | Val Acc: 0.9872
[2025-10-20 04:34:13] Epoch 51/60 | Train Loss: 0.0295 | Train Acc: 0.9915 | Val Acc: 0.9877
